Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0805_2012Metric",42.8030,13.9188,90.0000,bottom
"C2","100nF","C_0805_2012Metric",24.9936,37.6790,90.0000,bottom
"C3","10uF","CP_EIA-3216-18_Kemet-A",33.4772,37.7298,0.0000,bottom
"C4","100nF","C_0805_2012Metric",32.8422,35.4908,0.0000,bottom
"C5","100nF","C_0805_2012Metric",52.8678,36.5182,90.0000,bottom
"C6","10uF","CP_EIA-3216-18_Kemet-A",30.8356,13.9808,180.0000,bottom
"C7","100nF","C_0805_2012Metric",31.4198,16.1398,180.0000,bottom
"C8","100nF","C_0805_2012Metric",26.4414,19.7466,0.0000,bottom
"C9","10uF","CP_EIA-3216-18_Kemet-A",23.2410,22.3374,-90.0000,bottom
"C10","100nF","C_0805_2012Metric",20.9804,22.2104,-90.0000,bottom
"C11","10uF","CP_EIA-3216-18_Kemet-A",24.8158,32.5228,0.0000,bottom
"C12","100nF","C_0805_2012Metric",24.1808,30.1098,0.0000,bottom
"C13","10uF","CP_EIA-3216-18_Kemet-A",33.4264,23.6836,90.0000,bottom
"C14","100nF","C_0805_2012Metric",35.7886,23.0740,90.0000,bottom
"C15","2n2","C_0805_2012Metric",38.6334,20.0260,0.0000,bottom
"C16","1nF NP0","C_0805_2012Metric",33.4264,28.6112,-90.0000,bottom
"C17","100nF","C_0805_2012Metric",38.8366,28.5858,180.0000,bottom
"C18","100nF","C_0805_2012Metric",22.8092,16.5462,0.0000,bottom
"C19","100nF","C_0805_2012Metric",67.9450,16.8544,180.0000,bottom
"C20","100nF","C_0805_2012Metric",56.2506,28.7198,180.0000,bottom
"C21","10uF","CP_EIA-3216-18_Kemet-A",58.4454,31.1912,0.0000,bottom
"C22","1uF","C_1210_3225Metric",58.8518,19.6850,0.0000,bottom
"C23","100nF","C_0805_2012Metric",45.8828,38.1946,180.0000,bottom
"C24","10uF","CP_EIA-3216-18_Kemet-A",48.8546,33.1400,-90.0000,bottom
"C25","1pF/NP0 251R15S1R0AV4E","C_0805_2012Metric",52.6946,28.7452,0.0000,bottom
"C26","10uF","CP_EIA-3216-18_Kemet-A",49.0434,14.3252,90.0000,bottom
"C27","10uF","CP_EIA-3216-18_Kemet-A",55.0458,14.2998,90.0000,bottom
"C28","100nF","C_0805_2012Metric",57.4588,13.7918,90.0000,bottom
"C29","1uF","C_1210_3225Metric",54.7624,19.5834,90.0000,bottom
"C30","100nF","C_0805_2012Metric",48.3616,29.3624,0.0000,bottom
"C31","100nF","C_0805_2012Metric",41.7576,28.7128,90.0000,bottom
"C32","1uF","C_1210_3225Metric",48.5394,25.8826,180.0000,bottom
"C33","100nF","C_0805_2012Metric",52.5422,23.0302,0.0000,bottom
"C34","10uF","CP_EIA-3216-18_Kemet-A",51.8668,19.5834,-90.0000,bottom
"C35","3n3","C_0805_2012Metric",39.0144,33.1070,90.0000,bottom
"C36","100nF","C_0805_2012Metric",46.8630,16.5354,-90.0000,bottom
"C38","100nF","C_0805_2012Metric",14.3408,43.2816,180.0000,bottom
"C39","10uF","C_0805_2012Metric",14.3662,40.9194,180.0000,bottom
"C40","10uF","C_0805_2012Metric",66.8020,39.2064,0.0000,bottom
"C41","100nF","C_0805_2012Metric",66.8274,37.0728,0.0000,bottom
"C42","100nF","C_0805_2012Metric",10.3632,22.8498,0.0000,bottom
"C43","100nF","C_0805_2012Metric",14.3764,23.3578,-90.0000,bottom
"C44","100nF","C_0805_2012Metric",10.4648,28.4632,0.0000,bottom
"C45","100nF","C_0805_2012Metric",14.5034,28.8696,-90.0000,bottom
"C46","100nF","C_0805_2012Metric",10.5156,16.8554,0.0000,bottom
"C47","100nF","C_0805_2012Metric",14.5542,17.4142,-90.0000,bottom
"D1","S2744-09","HAMAMATSU_S2744-09",48.4244,25.7664,180.0000,top
